:nemesis	:info	:start-partition	:one
1	:invoke	:read	nil
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n2" "n0"}, "n2" #{"n1"}, "n0" #{"n1"}}]
2	:invoke	:add	3
1	:ok	:read	0
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	3
0	:invoke	:read	nil
0	:ok	:read	3
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	7
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	7
1	:ok	:read	7
1	:invoke	:read	nil
1	:ok	:read	7
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	7
0	:ok	:read	7
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	11
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	0
1	:invoke	:read	nil
0	:ok	:add	0
1	:ok	:read	15
1	:invoke	:add	4
2	:invoke	:add	4
1	:ok	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	19
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	4
0	:invoke	:read	nil
0	:ok	:read	23
2	:ok	:add	4
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	35
2	:invoke	:read	nil
2	:ok	:read	31
0	:invoke	:read	nil
0	:ok	:read	35
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	42
0	:invoke	:read	nil
0	:ok	:read	42
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	50
1	:invoke	:read	nil
1	:ok	:read	50
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	50
0	:invoke	:read	nil
0	:ok	:read	50
1	:invoke	:read	nil
